Article,Sentence_en,Claim,Sentence
The American Bar Association brings more harm than good,"In 1989 the ABA's House of Delegates adopted a resolution stating that ""the American Bar Association and each of its entities should use gender-neutral language in all documents establishing policy and procedure.""",FALSE,"1989 nahm das Haus der Delegierten von ABA eine Entschließung an, dass ""der American Bar Association und jede seiner Unternehmen eine geschlechtsneutrale Sprache in allen Dokumenten einsetzen sollte, die Politik und Verfahren festlegen."""
The American Bar Association brings more harm than good,"However, the American Bar Association does not certify individual paralegals.",FALSE,Die American Bar Association bescheinigt jedoch nicht einzelne Paralegale.
The American Bar Association brings more harm than good,"In response, the American Bar Association has proposed to amend FRE 404 to require that prior offenses be proven by a clear and convincing standard.",FALSE,"Als Reaktion darauf hat der American Bar Association vorgeschlagen, fre 404 zu ändern, um zu verlangen, dass vorherige Straftaten von einem klaren und überzeugenden Standard nachgewiesen werden."
The American Bar Association brings more harm than good,"However, the American Bar Association has waived the requirement for law schools to use the LSAT as an admission requirement in select cases.",FALSE,"Der American Bar Association hat jedoch auf die Anforderung an juristische Schulen verzichtet, die LSAT als Zulassungsanforderung in ausgewählten Fällen zu verwenden."
The American Bar Association brings more harm than good,"In 1987, the implications of the decision were raised when the American Bar Association was considering a proposal to support extending the ban on tobacco advertising to all media, even though the act of smoking was legal.",FALSE,"Im Jahr 1987 wurden die Auswirkungen der Entscheidung erhoben, als der amerikanische Barverband einen Vorschlag zur Unterstützung des Verbots der Tabakwerbung für alle Medien erwägte, obwohl der Raucherrechtsakt legal war."
The American Bar Association brings more harm than good,"In America, the American Bar Association decides which law schools to approve and thereby which ones are deemed most respectable.",FALSE,"In Amerika entscheidet der American Bar Association, welche Anwaltsschulen zu genehmigen und dadurch angesehen werden, welche angesehen werden."
The American Bar Association brings more harm than good,"The American Bar Association ""affirms the principle that dependence on alcohol or other drugs is a disease."".",FALSE,"Der American Bar Association ""bestätigt das Prinzip, dass die Abhängigkeit von Alkohol oder anderen Medikamenten eine Krankheit ist."""
The American Bar Association brings more harm than good,Formal Opinion 90-357 of the American Bar Association provides four acceptable definitions of the term:.,FALSE,Die formale Meinung 90-357 des American Bar Association bietet vier akzeptable Definitionen des Begriffs :.
The American Bar Association brings more harm than good,"In its criminal justice section, the American Bar Association has adopted the following standard regarding the need for a factual basis:.",FALSE,In seinem strafrechtlichen Bereich hat der American Bar Association den folgenden Standard zur Notwendigkeit einer sachlichen Basis angenommen:.
The American Bar Association brings more harm than good,"The American Bar Association's Taxation Section believes should be read not to require persons whose loss of citizenship occurred before the passage of the American Jobs Creation Act of 2004 to file the exit tax form (Form 8854), and has urged the issuance of Treasury regulations clarifying this interpretation.",FALSE,"Der Besteuerungsbereich der American Bar Association ist der Ansicht, dass er gelesen werden sollte, nicht zu verlangen, dass Personen, deren Verlust der Staatsbürgerschaft vor der Passage des amerikanischen Jobs des Schöpfungsgesetzes von 2004 auftrat, um das Austrittssteuerformular einzugeben (Formular 8854) und die Ausgabe von Treasury-Vorschriften aufdringlich diese Interpretation."
The American Bar Association brings more harm than good,"In the United States, the American Bar Association does not mandate a particular curriculum for 1Ls.",FALSE,In den Vereinigten Staaten machte der American Bar Association keinen bestimmten Lehrplan für 1Ls an.
The American Bar Association brings more harm than good,"However, American Bar Association clarified this in 2008, clearing the way for the development of legal process outsourcing.",FALSE,"Der American Bar Association hat dies jedoch 2008 klargestellt, wodurch der Weg zur Entwicklung des rechtlichen Prozesslagers löste."
The American Bar Association brings more harm than good,The American Bar Association has found that the evidence indicates that minority children are the most likely to suffer the negative consequences of zero tolerance policies.,FALSE,"Der American Bar Association hat festgestellt, dass die Beweise darauf hinweisen, dass Minderheitenkinder am wahrscheinlichsten unter den negativen Folgen der Nulltoleranzrichtlinien leiden."
The American Bar Association brings more harm than good,"The American Bar Association has noted that ""an attorney independent of the agency is a 'key component to an ethical adoption.'""",FALSE,"Der American Bar Association hat darauf hingewiesen, dass ""ein Anwalt, der von der Agentur unabhängig von der Agentur eine"" wichtige Komponente für eine ethische Annahme ist ""."
The American Bar Association brings more harm than good,Membership in the American Bar Association is not a prerequisite.,FALSE,Die Mitgliedschaft in der American Bar Association ist keine Voraussetzung.
The American Bar Association brings more harm than good,"Although the American Bar Association determined her to be ""not qualified,"" she was confirmed by the Senate on June 24, 2004 and received her commission on July 8, 2004, thereby becoming the first Hispanic judge in the Eastern District.",FALSE,"Obwohl der American Bar Association sie entschied, dass sie ""nicht qualifiziert"" wurde, wurde sie am 24. Juni 2004 vom Senat bestätigt und erhielt ihre Kommission am 8. Juli 2004, wodurch der erste hispanische Richter im östlichen Bezirk wurde."
The American Bar Association brings more harm than good,The American Bar Association is a private sector voluntary professional association.,FALSE,Der American Bar Association ist ein ehrenamtlicher Fachverband Privatsektor.
