Sentence,Claim,Article
"Die Teilnehmer des Treffens erkannten, dass Globalisierung keine irreversible Kraft ist, dass der Nationalismus, der Populismus und der Protektionismus ständige Wachsamkeit erfordern, und dieser Handel ist die grundlegendste Antriebskraft und das Barometer der Globalisierung.",False,We should fight protectionism
"Der Oberste Gerichtshof entschied, dass der kongresszielle Zweck der Bestrafung von intrastrastativem Glücksspiel unter der Guise der Erhebung einer Steuer nicht gegen die Verfassung, indem er die Polizeimacht verletzte, die den Staaten vorbehalten ist.",False,We should ban gambling
Wie in den meisten Indiens war das indische Kastensystem auffallend anwesend.,False,We should abolish the caste system in India
"Russland brachte den Antrag auf der Grundlage, dass der UN-Sicherheitsrat ""nicht aussprach, als die Rebellen die Stadt 2012 erregte"".",False,We should disband the United Nations Security Council
"Ziviler Behörden begannen zu fürchten, dass die Wasserversorgung herausgibt.",False,We should privatize water supply
"Im August 2013 beherrschte eine Bank von Rachessen K S Radhakrishnan und Arjan Kumar Sikri beherbergt, dass Identität des Whistleblowers niemals dem Angeklagten der Angeklagten offenbart werden kann, um unter der Prävention des Korruptionsgesetzes 1988 zu verhindern.",False,We should protect whistleblowers
"Bei der Anhörung sagte er: ""Es ist ironisch, dass einer der für die Organisation der Olympischen Spiele verantwortlichen Menschen der Chef des Bureau of Public Security ist, der für so viele Menschenrechtsverletzungen verantwortlich ist.",False,We should abolish the Olympic Games
"Viele der Hausaufgaben in CBTraining basiert auf der Schreibtherapie; Wenn Menschen ihre emotionale Erfahrung schreiben, wird ihr Gefühl von Trauma und Stress verringert.",False,Homework does more harm than good
"Selbst wenn zwei Parteien echt und ohne Zwang eines Vertrags zu einem Vertrag zustimmen möchten, der eine Strafklausel enthält, können sie nicht.",False,We should abolish the two-party system
"""Es schien für mich absurd"", schrieb er, "", dass eine Gruppe intelligenter Zoo-Direktoren keinen Plan zusammenbringen konnten, wodurch sie alle wissen, was der überschüssige Bestand ist.",False,Zoos bring more harm than good
"Obwohl Maßnahmen zur Aufhebung der Begriffsgrenzen in beiden Häusern in beiden Häusern eingeführt wurden, hat sich keiner von ihnen eine Abstimmung auf dem Boden eines Hauses erreicht oder ernsthafte Beratung in der Gesetzgebung erhielt.",False,We should abolish term limits
Das Datum für die Rückrufwahl wurde für den 9. August 2011 festgelegt.,False,Recall elections are beneficial
"Schließlich kommt die menschliche Faulheit ins Spiel - das Versagen der Menschen, die einfachen Hausaufgaben zu machen, die notwendig sind, um wahrscheinlich betrügerische Aktivitäten zu erkennen.",False,Homework does more harm than good
"Aufgrund dieser Situation wurde derunziert, dass der Sicherheitsrat nur wirksam ist, wenn es darum geht, die Interessen ihrer ständigen Mitglieder zu sichern und nicht gegen sie zu handeln.",False,We should disband the United Nations Security Council
Jede Werbung in Bezug auf den Ersatz war ebenfalls verboten.,False,Surrogacy should be banned
"Das Unternehmen leugnet weiter, dass hydraulische Frakturierung beteiligt war.",False,We should prohibit hydraulic fracturing
"In einer separaten Note fand eine Studie, dass polygame Politiker überwältigend seltener sind, um weibliche Stimmen zu gewinnen als monogame Politiker.",False,We should legalize polygamy
"Um dies zu erreichen, werden typischerweise eine Gruppe von Leiharbeitern die Erntezeilen, die ehrenamtliche Pflanzen suchen, oder ""Rogue"" -Pläfchen in einer Übung, die oft als ""Roging"" bezeichnet wird.",False,We should abolish temporary employment
"Wenn der andere Spieler schwielig war, könnte er sicherlich schließen: Er wollte nicht gerettet werden.",False,We should ban gambling
"Im Gefolge des Skandals wurden mehrere Klassenaktionsrechtsanzüge an beiden Entfesseln und Fanduel eingereicht, mit Anzüge mit Anpassungen wie Betrug, Robeling, Fahrlässigkeit und falsche Werbung, wodurch argumentiert werden .",False,We should legalize insider trading
"Inhaber von geistigen Eigentumsrechten haben behauptet, dass eBay aus dem Verstoß gegen die Rechtsverletzung geistiger Eigentumsrechte profitiert.",False,eBay brings more good than harm
"Laut Ronald Inde, einem Indologen, wurden viele der höheren Kasten Indiens in historisch in Ranglisten-Clans oder Linien organisiert "".",False,We should abolish the caste system in India
"Die Kirche lehrt, dass ""die Standarddoktrin der Kirche Monogamie ist"" und dass Polygamie eine vorübergehende Ausnahme der Regel war.",False,We should legalize polygamy
Das meiste Wildtiermanagement in der Region ist auf die Verbesserung der Holzqualität durch den Verkauf von Holz beschränkt.,False,Wildlife management brings more good than harm
"Da der Inhalt in den kreativen Commons sein würde, hätten Private Schools volle Rechte, um den Inhalt zu nutzen, und könnten es vor der Verwendung für ihre Zwecke ändern.",False,Private education brings more good than harm
"Wenn Plastiktüten durch Papiertüten ersetzt werden, wird geschätzt, dass die Nutzung der Papiertüte um 174 Millionen Beutel pro Jahr auf 213 Millionen pro Jahr steigt.",False,We should tax plastic bags
"Eric Ehrmann beantragt, dass Social Media in Form von öffentlicher Diplomatie eine Patina der Inklusivität schaffen, die traditionelle wirtschaftliche Interessen abdeckt, die strukturiert sind, um sicherzustellen, dass der Wohlstand auf den Grad der wirtschaftlichen Pyramide gepumpt wird, um die digitale Tätigkeit und den Konflikt des marxischen Klassenklasses zu verpumpen.",False,Social media does more harm than good
Einige außerschulische Aktivitäten können eine zusätzliche Gebühr erhoben werden.,False,Extra-curricular activity is beneficial
"Darüber hinaus schlugen sie ausdrücklich vorgeschlagen, die HESC-Forschung vorzulegen, sollten sich vom Versuch ablehnen, einen praktikablen Nachwuchs zu erstellen, wodurch sich die Bemühungen auf die Verwendung von geklonten Embryonen als praktikable Quelle zum Ableiten von Stammzelllinien anbieten.",False,Embryonic stem cell research brings more good than harm
"Aber Monarchie ist auch nicht das amerikanische Ideal; Wenn wir aus einer schrecklichen Regierung rauskommen, um heftig in einen anderen zu springen, was werden wir gewonnen haben?",False,We should abolish the monarchy
"Das Wichtigste in den Olympischen Spielen ist nicht zu gewinnen, sondern als das Wichtigste im Leben nicht zu nehmen, ist nicht der Triumph, sondern der Kampf.",False,We should abolish the Olympic Games
"Es ist auch bekannt, dass sie früher hart lernte, und behauptete, dass Hausaufgaben das Zentrum ihres Universums vor Alkohol war.",False,Homework does more harm than good
"Seine Verteidigung der Kindertaufe war nicht nur eine Frage der kirchlichen Politik, war jedoch eindeutig mit der gesamten Theologie und seinem tiefen Gefühl der Einheit der Kirche verbunden.",False,We should abolish infant baptism
"Rückrufwahlen können verwendet werden, um das Amt eines gewählten Beamten zu widerrufen.",False,Recall elections are beneficial
"Da der ISO-Standard nur eine enge Palette an blauen Lichts misst, ist es keine angemessene Maßnahme für die eigentliche Weißheit oder Helligkeit.",False,ISO brings more harm than good
"Der Abschluss des Programms, das das Programm nicht dem Standard erfüllte, und muss getroffen werden, erklärte Powells Memorandum, dass bejahende Maßnahmen unter einigen Umständen zulässig waren, und bildete schließlich viel von seiner freigegebenen Meinung.",False,Affirmative action brings more good than harm
"Der American Bar Association hat gefälschte Chic als Top 100-Blog anerkannt, und gefälschte Chic hat auch in mehreren Medienaufkommen aufmerksam gemacht, darunter die New York Times, ABC News und die Tyrra Bankenshow.",False,The American Bar Association brings more harm than good
"Also schlug Carroll vor, dass Atheisten den Begriff ""hellern"" mit all ihren negativen Konnotationen genießen könnten.",False,Atheism is the only way
"Er verlangt, dass ein DNA-Test genommen wird, um zu bestätigen, was sie sagt.",False,We should limit genetic testing
"Da Richtlinien nicht selbstwirksam sind, werden die Regulierungsbehörden der Energiesektor zu einem Schlüsselvermittler (oder Blocker) von erneuerbaren Energien investitionen.",False,The energy industry should be nationalized
"Deshalb ist auch der Oberflächenbergbau und eine Energiewirtschaft, die auf der Verbrennung von Kohle basieren, aufgewickelt und allmählich durch emissionsöses, nicht erschöpfbare oder erneuerbare Quellen ersetzt werden.",False,The energy industry should be nationalized
"Ein Fuchsnachrichten-Artikel berichtete auch, dass die Church of Scientology-Computer verwendet worden sei, um Referenzen der Beziehung zwischen Scientology und dem Kultwarennetz in den Artikel über das Kult-Awaress-Netzwerk auf Wikipedia zu löschen.",False,We should ban the Church of Scientology
Aber ihre Hausaufgaben erleichtert einen seltsamen Reaktion des Lehrers.,False,Homework does more harm than good
"Er hat die in private Wahrheiten entwickelte Theorie genutzt, öffentliche Lügen, um zu erklären, warum die wichtigsten politischen Revolutionen uns überraschen, wie ethnische Spannungen sich an sich ernähren können, warum Indiens Kastensystem für Jahrtausende eine starke soziale Kraft war und warum kleinere Risiken manchmal erzeugt Massenhysterie.",False,We should abolish the caste system in India
"Laut Treynor muss jedes Insider-Handelsgesetz gegen solche neuen Informationen Händler und Investorenvertrauen schützen, um die Liquidität auf dem Markt aufrechtzuerhalten.",False,We should legalize insider trading
"Toulmins theologische Einwände der Säuglingsbinke, die möglicherweise auf die Anmeldung von Säuglingen erweitert wurden, da keine der Geburten seiner Kinder registriert wurde.",False,We should abolish infant baptism
"Es wurde argumentiert, dass dieser Trend in Richtung Social Media ""als Evolution zurück an die Wurzeln des Internets angesehen werden kann, da er das World Wide Web neu umwandelt, um das anfänglich erstellt für: eine Plattform, um den Informationsaustausch zwischen den Benutzern zu erleichtern."" .",False,Social media does more harm than good
"Wir finden also, dass die gesamte Windenergie ist:.",False,We should further exploit wind power
"So sind Gesetze einer protektionistischen Art, die mit dem Interstate-Handel und dem Handel eingreifen, ungültig sein.",False,We should fight protectionism
"Es scheint jedoch, dass eBay Drop-Versand toleriert, solange der Verkäufer einen guten Service garantieren kann.",False,eBay brings more good than harm
"Es bleibt unklar, ob eine andere Partei als der Sicherheitsrat die Entschlossenheit vornehmen kann, dass der Irak die Resolution 1441 verletzt hat, als U.N. Mitglieder kommentierten, dass es sich nicht um einen Mitgliedstaat handelt, um U.N. Resolutionen für den gesamten Rat zu interpretieren und durchzusetzen.",False,We should disband the United Nations Security Council
"Noch schlimmer, nur wenige Pfeife-Gebläse scheinen jede Änderung herbeizuführen.",False,We should protect whistleblowers
"Stella glaubt, dass Zoos, wie Menschen egalieren.",False,Zoos bring more harm than good
"Sie zeigte, dass Embryonen in vitro kultiviert werden könnten, und diese ES-Zellen könnten aus diesen Embryonen abgeleitet werden.",False,Embryonic stem cell research brings more good than harm
"Dong Jianhong und Chen Tiying schrieb, dass in den Großen Sprung-Forward-Zeit-Schulaktivitäten nicht auf die Bildung konzentriert waren und stattdessen ""meist der politischen Bewegungen und produktiven Arbeitskräfte widmeten"", die eine geringe Bildungsqualität produzierten.",False,Extra-curricular activity is beneficial
"Anliegend spielte das indische Kastensystem eine bedeutende Rolle, die Nairs, die den Defilieren von Bösen mit niedrigem Kasten, mehr als jede Verletzung der landwirtschaftlichen Implementierungen, die sie stärker waren, befürchteten.",False,We should abolish the caste system in India
Hinterlassen Sie Neugeborene zur Pflege einer nassen Krankenschwester oder einer Gouvernante - immer zu einigen Hindu-Kasten - war in wohlhabenden indischen Familien des Tages üblich.,False,We should abolish the caste system in India
Das Kastensystem in Indien ist ein System der sozialen Stratifizierung.,False,We should abolish the caste system in India
"Gelehrte stimmen nicht überein, als das Infant-Taufe zuerst geübt wurde.",False,We should abolish infant baptism
